                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                       dq                                   csound 
                                      10                  9.9999999998587497E-001                  1.5312667746983507E-004                  3.7795036111897296E+000                 -6.6028714243440101E+000                  4.9921457714712378E+000                  7.2650091009043938E-001                  2.5473735130664810E-001                  1.8761738602912525E-002                  1.0003526493710564E+000                  1.5624999999995293E-012                  8.0167316518835397E+005 
                                      11                  9.9999999998431233E-001                  1.5185113006958132E-004                  3.7816306653613965E+000                 -6.5988713717859122E+000                  4.9982825939065387E+000                  7.2650091009037987E-001                  2.5473735130669717E-001                  1.8761738602922962E-002                  1.0003497112831907E+000                  1.5624999999999429E-012                  8.0336079902447248E+005 
                                      12                  9.9999999998274991E-001                  1.5058726602281008E-004                  3.7838095139186549E+000                 -6.5950091450327077E+000                  5.0043339764807753E+000                  7.2650091009036033E-001                  2.5473735130671338E-001                  1.8761738602926292E-002                  1.0003468001151992E+000                  1.5624999999999429E-012                  8.0507290240986738E+005 
                                      13                  9.9999999998118738E-001                  1.4933458093669728E-004                  3.7860430623447128E+000                 -6.5912853422916875E+000                  5.0103022659783090E+000                  7.2650091009035378E-001                  2.5473735130671876E-001                  1.8761738602927513E-002                  1.0003439147050399E+000                  1.5624999999999397E-012                  8.0680968623313494E+005 
                                      14                  9.9999999997962474E-001                  1.4809258022242003E-004                  3.7883345229208056E+000                 -6.5877009662820569E+000                  5.0161897138131533E+000                  7.2650091009035045E-001                  2.5473735130672148E-001                  1.8761738602928069E-002                  1.0003410539132689E+000                  1.5624999999999429E-012                  8.0857133474175318E+005 
                                      15                  9.9999999997806233E-001                  1.4686077743782209E-004                  3.7906874518866771E+000                 -6.5842574556030957E+000                  5.0219984811282350E+000                  7.2650091009034690E-001                  2.5473735130672448E-001                  1.8761738602928624E-002                  1.0003382166192216E+000                  1.5624999999999397E-012                  8.1035798491436208E+005 
                                      16                  9.9999999997649980E-001                  1.4563869261317229E-004                  3.7931057889623174E+000                 -6.5809567188347868E+000                  5.0277306435584270E+000                  7.2650091009034312E-001                  2.5473735130672764E-001                  1.8761738602929290E-002                  1.0003354017171564E+000                  1.5624999999999461E-012                  8.1216969924586022E+005 
                                      17                  9.9999999997493716E-001                  1.4442585050458611E-004                  3.7955938998385319E+000                 -6.5778011725386412E+000                  5.0333881956835942E+000                  7.2650091009033890E-001                  2.5473735130673097E-001                  1.8761738602930178E-002                  1.0003326081122308E+000                  1.5624999999999461E-012                  8.1400643155052606E+005 
                                      18                  9.9999999997337474E-001                  1.4322177881550199E-004                  3.7981566181639566E+000                 -6.5747937809131329E+000                  5.0389730551955374E+000                  7.2650091009033457E-001                  2.5473735130673464E-001                  1.8761738602930844E-002                  1.0003298347164047E+000                  1.5624999999999397E-012                  8.1586798261849349E+005 
                                      19                  9.9999999997181221E-001                  1.4202600633377054E-004                  3.8007992786662381E+000                 -6.5719380871218114E+000                  5.0444870668006718E+000                  7.2650091009033002E-001                  2.5473735130673841E-001                  1.8761738602931510E-002                  1.0003270804441491E+000                  1.5624999999991965E-012                  8.1775393056268222E+005 
                                      20                  9.9999999997024958E-001                  1.4083806105578964E-004                  3.8035275540569931E+000                 -6.5692381099431607E+000                  5.0499320058782384E+000                  7.2650091009032525E-001                  2.5473735130674252E-001                  1.8761738602932176E-002                  1.0003243442081251E+000                  1.5624999999999558E-012                  8.1966360076756158E+005 
                                      21                  9.9999999996868716E-001                  1.3965746857888916E-004                  3.8056433789792190E+000                 -6.5673279459607334E+000                  5.0539714175331572E+000                  7.2650091009031492E-001                  2.5473735130675096E-001                  1.8761738602934175E-002                  1.0003216249154809E+000                  7.8124999999997468E-013                  8.2111744072747661E+005 
                                      22                  9.9999999996790589E-001                  1.3906975936028290E-004                  3.8070763436358743E+000                 -6.5660980521571410E+000                  5.0566436501720302E+000                  7.2650091009030437E-001                  2.5473735130675967E-001                  1.8761738602935951E-002                  1.0003202712306720E+000                  7.8124999999998115E-013                  8.2208852369798976E+005 
                                      23                  9.9999999996712463E-001                  1.3848370976297152E-004                  3.8092605491762805E+000                 -6.5643192766630429E+000                  5.0606214417361022E+000                  7.2650091009029383E-001                  2.5473735130676861E-001                  1.8761738602937506E-002                  1.0003189213703330E+000                  1.5624999999999558E-012                  8.2354718371578446E+005 
