                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                       dq                                   csound 
                                      10                  9.9999999999150013E-001                 -5.9739712211432769E-008                  3.7719801774920128E+000                 -6.6183853133415376E+000                  4.9692778565220133E+000                  7.2698714848497936E-001                  2.5429037407101057E-001                  1.8722477444010011E-002                  9.9999986244423866E-001                  1.2500000000000054E-012                  7.9577157466081192E+005 
                                      11                  9.9999999999025013E-001                 -1.1184075338904824E-006                  3.7735419790967870E+000                 -6.6147656016896876E+000                  4.9744657236721892E+000                  7.2698714848299972E-001                  2.5429037407265404E-001                  1.8722477444346186E-002                  9.9999742477480047E-001                  1.2500000000000054E-012                  7.9704999575103447E+005 
                                      12                  9.9999999998900013E-001                 -2.1682959963728253E-006                  3.7753294651624407E+000                 -6.6107972457999304E+000                  4.9802289993281361E+000                  7.2698714848227641E-001                  2.5429037407325450E-001                  1.8722477444469088E-002                  9.9999500732642499E-001                  1.5625000000000043E-012                  7.9850435220839281E+005 
                                      13                  9.9999999998743772E-001                 -3.4687300887493927E-006                  3.7773607373849729E+000                 -6.6065219256981438E+000                  4.9865442729251557E+000                  7.2698714848208013E-001                  2.5429037407341748E-001                  1.8722477444502394E-002                  9.9999201298570239E-001                  1.5625000000000027E-012                  8.0014508206623653E+005 
                                      14                  9.9999999998587508E-001                 -4.7564366477209728E-006                  3.7794388240545977E+000                 -6.6023843469847536E+000                  4.9927691012566351E+000                  7.2698714848203227E-001                  2.5429037407345723E-001                  1.8722477444510499E-002                  9.9998904795985322E-001                  1.5625000000000350E-012                  8.0180984533951199E+005 
                                      15                  9.9999999998431255E-001                 -6.0319446123569543E-006                  3.7815661159223621E+000                 -6.5983844072786386E+000                  4.9989060387839874E+000                  7.2698714848202051E-001                  2.5429037407346694E-001                  1.8722477444512498E-002                  9.9998611103070645E-001                  1.5625000000000043E-012                  8.0349891451737599E+005 
                                      16                  9.9999999998275013E-001                 -7.2957699055865806E-006                  3.7848316303227341E+000                 -6.5926195519498405E+000                  5.0079519507009334E+000                  7.2698714848201629E-001                  2.5429037407347055E-001                  1.8722477444513164E-002                  9.9998320101007809E-001                  3.1250000000000021E-012                  8.0606063958014851E+005 
                                      17                  9.9999999997962508E-001                 -9.7901223694303129E-006                  3.7882750778830312E+000                 -6.5872187706000576E+000                  5.0168134850575248E+000                  7.2698714848201407E-001                  2.5429037407347233E-001                  1.8722477444513608E-002                  9.9997745766425583E-001                  1.5625000000000043E-012                  8.0871734353846114E+005 
                                      18                  9.9999999997806255E-001                 -1.1021900908590520E-005                  3.7906285202066652E+000                 -6.5837756593362524E+000                  5.0226223554667779E+000                  7.2698714848201174E-001                  2.5429037407347432E-001                  1.8722477444513941E-002                  9.9997462145731209E-001                  1.5625000000000043E-012                  8.1050579850411089E+005 
                                      19                  9.9999999997650002E-001                 -1.2243962803895566E-005                  3.7930474333130131E+000                 -6.5804753873895239E+000                  5.0283546182874677E+000                  7.2698714848200918E-001                  2.5429037407347638E-001                  1.8722477444514496E-002                  9.9997180763118088E-001                  1.5625000000000108E-012                  8.1231941849082999E+005 
                                      20                  9.9999999997493749E-001                 -1.3456783455004080E-005                  3.7955361855663359E+000                 -6.5773203737993500E+000                  5.0340122682044237E+000                  7.2698714848200641E-001                  2.5429037407347865E-001                  1.8722477444514940E-002                  9.9996901509105907E-001                  1.5625000000000140E-012                  8.1415816020714643E+005 
                                      21                  9.9999999997337496E-001                 -1.4660835322196118E-005                  3.7980996127237994E+000                 -6.5743135842752984E+000                  5.0395972230090544E+000                  7.2698714848200352E-001                  2.5429037407348104E-001                  1.8722477444515384E-002                  9.9996624274892509E-001                  1.5625000000000237E-012                  8.1602182583557302E+005 
                                      22                  9.9999999997181244E-001                 -1.5856589768697226E-005                  3.8007430510600235E+000                 -6.5714585638437528E+000                  5.0451113275023820E+000                  7.2698714848200052E-001                  2.5429037407348359E-001                  1.8722477444515828E-002                  9.9996348951929670E-001                  1.5625000000000948E-012                  8.1790999722738878E+005 
                                      23                  9.9999999997024991E-001                 -1.7044518977053743E-005                  3.8034721809464846E+000                 -6.5687593360498235E+000                  5.0505563571536820E+000                  7.2698714848199741E-001                  2.5429037407348626E-001                  1.8722477444516272E-002                  9.9996075431481823E-001                  1.5625000000000075E-012                  8.1982200118589099E+005 
                                      24                  9.9999999996868738E-001                 -1.8225097519770673E-005                  3.8055887152163028E+000                 -6.5668498004606075E+000                  5.0545958352717113E+000                  7.2698714848199064E-001                  2.5429037407349181E-001                  1.8722477444517605E-002                  9.9995803604264411E-001                  7.8125000000000053E-013                  8.2127768320663355E+005 
                                      25                  9.9999999996790623E-001                 -1.8812800653235794E-005                  3.8077373461335746E+000                 -6.5650102816455753E+000                  5.0585981087741834E+000                  7.2698714848198365E-001                  2.5429037407349758E-001                  1.8722477444518715E-002                  9.9995668286387263E-001                  1.5625000000000075E-012                  8.2273115837682353E+005 
                                      26                  9.9999999996634359E-001                 -1.9983245947270791E-005                  3.8099632444789835E+000                 -6.5632857382661545E+000                  5.0625638781234965E+000                  7.2698714848197632E-001                  2.5429037407350363E-001                  1.8722477444520047E-002                  9.9995398793435974E-001                  7.8125000000000700E-013                  8.2420948508586257E+005 
                                      27                  9.9999999996556233E-001                 -2.0566152869190775E-005                  3.8114709651307561E+000                 -6.5621804028318751E+000                  5.0651877616106074E+000                  7.2698714848196899E-001                  2.5429037407350980E-001                  1.8722477444521157E-002                  9.9995264580422849E-001                  7.8125000000000053E-013                  8.2519504376025102E+005 
